order,list,item,condition,target_type,target_num,comp_num,Exp1_target,Exp1_competitor,ambiguity,targetID,targetPos,compPos,comp2Pos,destPos,locPhrase,order_of_mention,entities,target_grammatical_status,target_number,sentence,firstDisplay,secondDisplay,expTrials
4,1,P4,,,,,,,,,1,4,5,3,,2,2,PP object,singular,The fences below the woman are on number 4.,P4_1.jpg,P4_2.jpg,N
4,2,P4,,,,,,,,,1,4,5,3,,2,2,PP object,singular,The fences below the woman are on number 4.,P4_1.jpg,P4_2.jpg,N
4,3,P4,,,,,,,,,1,4,5,3,,2,2,PP object,singular,The fences below the woman are on number 4.,P4_1.jpg,P4_2.jpg,N
4,4,P4,,,,,,,,,1,4,5,3,,2,2,PP object,singular,The fences below the woman are on number 4.,P4_1.jpg,P4_2.jpg,N
5,1,X03,9,,,,,,,,5,6,,3,,1,2,VP object,singular,On number 5 there is a cactus.,X03_9_1.jpg,X03_9_2.jpg,N
5,2,X03,9,,,,,,,,5,6,,3,,1,2,VP object,singular,On number 5 there is a cactus.,X03_9_1.jpg,X03_9_2.jpg,N
5,3,X03,9,,,,,,,,5,6,,3,,1,2,VP object,singular,On number 5 there is a cactus.,X03_9_1.jpg,X03_9_2.jpg,N
5,4,X03,9,,,,,,,,5,6,,3,,1,2,VP object,singular,On number 5 there is a cactus.,X03_9_1.jpg,X03_9_2.jpg,N
6,1,X01,9,,,,,,,,6,1,3,5,below,1,3,subject,plural,"The shells are on number 6, and they are below the basil and the oven.",X01_9_1.jpg,X01_9_2.jpg,N
6,2,X01,9,,,,,,,,6,1,3,5,below,1,3,subject,plural,"The shells are on number 6, and they are below the basil and the oven.",X01_9_1.jpg,X01_9_2.jpg,N
6,3,X01,9,,,,,,,,6,1,3,5,below,1,3,subject,plural,"The shells are on number 6, and they are below the basil and the oven.",X01_9_1.jpg,X01_9_2.jpg,N
6,4,X01,9,,,,,,,,6,1,3,5,below,1,3,subject,plural,"The shells are on number 6, and they are below the basil and the oven.",X01_9_1.jpg,X01_9_2.jpg,N
7,1,1,1,1,1,1,van,microphone,ambiguous,7,5,6,,3,next to,1,2,subject,singular,The van next to the microphone is on number 5.,E01_1_1.jpg,E01_1_2.jpg,Y
7,2,1,2,1,2,1,van,microphone,unambiguous,7,5,6,,3,next to,1,2,subject,plural,The vans next to the microphone are on number 5.,E01_2_1.jpg,E01_2_2.jpg,Y
7,3,1,3,2,1,2,van,microphones,unambiguous,7,5,6,,3,next to,1,2,subject,singular,The van next to the microphones is on number 5.,E01_3_1.jpg,E01_3_2.jpg,Y
7,4,1,4,2,2,2,van,microphones,ambiguous,7,5,6,,3,next to,1,2,subject,plural,The vans next to the microphones are on number 5.,E01_4_1.jpg,E01_4_2.jpg,Y
8,1,P6,,,,,,,,,2,5,,3,,2,2,PP object,singular,The waiter below the pipe is on number 5.,P6_1.jpg,P6_2.jpg,N
8,2,P6,,,,,,,,,2,5,,3,,2,2,PP object,singular,The waiter below the pipe is on number 5.,P6_1.jpg,P6_2.jpg,N
8,3,P6,,,,,,,,,2,5,,3,,2,2,PP object,singular,The waiter below the pipe is on number 5.,P6_1.jpg,P6_2.jpg,N
8,4,P6,,,,,,,,,2,5,,3,,2,2,PP object,singular,The waiter below the pipe is on number 5.,P6_1.jpg,P6_2.jpg,N
9,1,X02,9,,,,,,,,3,,,4,,1,1,subject,plural,The keyboards are on number 3.,X02_9_1.jpg,X02_9_2.jpg,N
9,2,X02,9,,,,,,,,3,,,4,,1,1,subject,plural,The keyboards are on number 3.,X02_9_1.jpg,X02_9_2.jpg,N
9,3,X02,9,,,,,,,,3,,,4,,1,1,subject,plural,The keyboards are on number 3.,X02_9_1.jpg,X02_9_2.jpg,N
9,4,X02,9,,,,,,,,3,,,4,,1,1,subject,plural,The keyboards are on number 3.,X02_9_1.jpg,X02_9_2.jpg,N
10,1,2,2,1,2,1,candles,shirt,unambiguous,11,2,5,,3,above,1,2,subject,plural,The candles above the shirt are on number 2.,E02_2_1.jpg,E02_2_2.jpg,Y
10,2,2,3,2,1,2,candle,shirts,unambiguous,11,2,5,,3,above,1,2,subject,singular,The candle above the shirts is on number 2.,E02_3_1.jpg,E02_3_2.jpg,Y
10,3,2,4,2,2,2,candles,shirts,ambiguous,11,2,5,,3,above,1,2,subject,plural,The candles above the shirts are on number 2.,E02_4_1.jpg,E02_4_2.jpg,Y
10,4,2,1,1,1,1,candle,shirt,ambiguous,11,2,5,,3,above,1,2,subject,singular,The candle above the shirt is on number 2.,E02_1_1.jpg,E02_1_2.jpg,Y
11,1,X27,9,,,,,,,,6,3,,4,above,2,2,PP object,singular,The olives are above the cat.,X27_9_1.jpg,X27_9_2.jpg,N
11,2,X27,9,,,,,,,,6,3,,4,above,2,2,PP object,singular,The olives are above the cat.,X27_9_1.jpg,X27_9_2.jpg,N
11,3,X27,9,,,,,,,,6,3,,4,above,2,2,PP object,singular,The olives are above the cat.,X27_9_1.jpg,X27_9_2.jpg,N
11,4,X27,9,,,,,,,,6,3,,4,above,2,2,PP object,singular,The olives are above the cat.,X27_9_1.jpg,X27_9_2.jpg,N
12,1,X13,9,,,,,,,,3,,,2,,1,1,subject,singular,The queen is on number 3.,X13_9_1.jpg,X13_9_2.jpg,N
12,2,X13,9,,,,,,,,3,,,2,,1,1,subject,singular,The queen is on number 3.,X13_9_1.jpg,X13_9_2.jpg,N
12,3,X13,9,,,,,,,,3,,,2,,1,1,subject,singular,The queen is on number 3.,X13_9_1.jpg,X13_9_2.jpg,N
12,4,X13,9,,,,,,,,3,,,2,,1,1,subject,singular,The queen is on number 3.,X13_9_1.jpg,X13_9_2.jpg,N
13,1,3,3,2,1,2,melon,belts,unambiguous,6,6,3,,2,below,1,2,subject,singular,The melon below the belts is on number 6.,E03_3_1.jpg,E03_3_2.jpg,Y
